"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"cd.Vector2D.compareTo (cd.Vector2D)","47,018 ms (15.2%)","45,510 ms (15.4%)","77,544 ms (0.5%)","74,027 ms (0.5%)","282,669,720"
"cd.CallSign.compareTo (Object)","44,897 ms (14.5%)","42,700 ms (14.4%)","66,368 ms (0.4%)","62,941 ms (0.4%)","411,868,440"
"cd.RedBlackTree.treeInsert (Comparable, Object)","33,027 ms (10.7%)","32,271 ms (10.9%)","139,843 ms (0.9%)","133,698 ms (0.8%)","58,327,080"
"cd.Vector2D.compareTo (Object)","30,725 ms (9.9%)","28,926 ms (9.8%)","108,269 ms (0.7%)","102,954 ms (0.6%)","282,669,720"
"cd.Vector2D.compareNumbers (double, double)","30,526 ms (9.9%)","28,516 ms (9.6%)","30,526 ms (0.2%)","28,516 ms (0.2%)","540,387,360"
"cd.CollisionDetector.recurse (cd.RedBlackTree, cd.RedBlackTree, cd.Vector2D, cd.Motion)","26,395 ms (8.5%)","25,490 ms (8.6%)","179,612 ms (1.1%)","171,841 ms (1.1%)","96,032,160"
"cd.CallSign.compareTo (cd.CallSign)","21,471 ms (6.9%)","20,240 ms (6.8%)","21,471 ms (0.1%)","20,240 ms (0.1%)","411,868,440"
"cd.RedBlackTree.findNode (Comparable)","16,923 ms (5.5%)","16,608 ms (5.6%)","84,746 ms (0.5%)","81,077 ms (0.5%)","22,504,020"
"cd.RedBlackTree.put (Comparable, Object)","9,133 ms (3%)","8,645 ms (2.9%)","150,557 ms (0.9%)","143,880 ms (0.9%)","58,327,080"
"cd.CollisionDetector.isInVoxel (cd.Vector2D, cd.Motion)","6,432 ms (2.1%)","6,190 ms (2.1%)","6,432 ms (0%)","6,190 ms (0%)","96,032,160"
"cd.Vector2D.plus (cd.Vector2D)","3,424 ms (1.1%)","3,192 ms (1.1%)","3,424 ms (0%)","3,192 ms (0%)","63,024,120"
"cd.Vector2D.minus (cd.Vector2D)","3,386 ms (1.1%)","3,120 ms (1.1%)","3,386 ms (0%)","3,120 ms (0%)","63,024,120"
"cd.RedBlackTree.forEach (som.ForEachInterface)","3,063 ms (1%)","2,986 ms (1%)","36,567 ms (0.2%)","35,075 ms (0.2%)","24,000"
"cd.CollisionDetector.lambda$handleNewFrame$0 (cd.RedBlackTree, som.Vector, cd.Aircraft)","2,895 ms (0.9%)","2,804 ms (0.9%)","77,161 ms (0.5%)","73,766 ms (0.5%)","12,000,000"
