"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","84,722 ms (23.2%)","82,660 ms (23.5%)","178,193 ms (2.7%)","171,460 ms (2.7%)","146,780,966"
"deltablue.EqualityConstraint.execute ()","45,077 ms (12.3%)","42,358 ms (12.1%)","45,077 ms (0.7%)","42,358 ms (0.7%)","898,560,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","28,039 ms (7.7%)","26,949 ms (7.7%)","94,215 ms (1.4%)","90,415 ms (1.4%)","51,841,584"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","16,460 ms (4.5%)","15,830 ms (4.5%)","127,800 ms (1.9%)","122,581 ms (1.9%)","51,842,016"
"som.Vector.isEmpty ()","14,196 ms (3.9%)","13,491 ms (3.8%)","14,196 ms (0.2%)","13,491 ms (0.2%)","293,636,888"
"deltablue.BinaryConstraint.getOutput ()","12,590 ms (3.4%)","12,098 ms (3.4%)","12,590 ms (0.2%)","12,098 ms (0.2%)","267,761,727"
"som.Vector.removeFirst ()","11,647 ms (3.2%)","11,225 ms (3.2%)","17,462 ms (0.3%)","16,733 ms (0.3%)","120,896,933"
"deltablue.ScaleConstraint.execute ()","11,752 ms (3.2%)","11,199 ms (3.2%)","11,752 ms (0.2%)","11,199 ms (0.2%)","198,063,456"
"som.Vector.append (Object)","11,280 ms (3.1%)","10,849 ms (3.1%)","11,280 ms (0.2%)","10,849 ms (0.2%)","215,939,956"
"deltablue.Planner.makePlan (som.Vector)","10,549 ms (2.9%)","10,128 ms (2.9%)","34,521 ms (0.5%)","33,132 ms (0.5%)","720"
"deltablue.BinaryConstraint.isSatisfied ()","9,558 ms (2.6%)","9,279 ms (2.6%)","9,558 ms (0.1%)","9,279 ms (0.1%)","189,902,016"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","9,314 ms (2.5%)","8,923 ms (2.5%)","26,677 ms (0.4%)","25,626 ms (0.4%)","95,035,925"
"deltablue.Strength.weakest (deltablue.Strength)","8,267 ms (2.3%)","7,932 ms (2.3%)","12,352 ms (0.2%)","11,812 ms (0.2%)","86,340,864"
